,service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0,0-平日,1,1,1,1,1,0,0,2023-10-01,2024-09-30
1,0-土日祝,0,0,0,0,0,1,1,2023-10-01,2024-09-30
0,1-平,1,1,1,1,1,0,0,2021-12-16,2022-03-31
1,1-平土,1,1,1,1,1,1,0,2021-12-16,2022-03-31
2,1-土,0,0,0,0,0,1,0,2021-12-16,2022-03-31
0,2-平日,1,1,1,1,1,0,0,2023-03-18,2024-03-17
1,2-土日祝,0,0,0,0,0,1,1,2023-03-18,2024-03-17
0,3-平日,1,1,1,1,1,0,0,2023-10-10,2024-10-09
1,3-土曜,0,0,0,0,0,1,0,2023-10-10,2024-10-09
2,3-日祝,0,0,0,0,0,0,1,2023-10-10,2024-10-09
0,4-全日,1,1,1,1,1,1,1,2023-05-11,2024-03-31
1,4-月・木,1,0,0,1,0,0,0,2023-05-11,2024-03-31
2,4-火・金,0,1,0,0,1,0,0,2023-05-11,2024-03-31
3,4-月・火・水・木,1,1,1,1,0,0,0,2023-05-11,2024-03-31
4,4-お盆休み・月・木,1,0,0,1,0,0,0,2023-05-11,2024-03-31
5,4-月・水・金,1,0,1,0,1,0,0,2023-05-11,2024-03-31
6,4-平日,1,1,1,1,1,0,0,2023-05-11,2024-03-31
7,4-冬季（火）,0,1,0,0,0,0,0,2023-05-11,2024-03-31
8,4-冬季（水）,0,0,1,0,0,0,0,2023-05-11,2024-03-31
9,4-冬季（木）,0,0,0,1,0,0,0,2023-05-11,2024-03-31
10,4-冬季（金）,0,0,0,0,1,0,0,2023-05-11,2024-03-31
11,4-平日（循環第10便）,1,1,1,1,1,0,0,2023-05-11,2024-03-31
0,5-無休,1,1,1,1,1,1,1,2023-04-01,2024-03-31
1,5-平土,1,1,1,1,1,1,0,2023-04-01,2024-03-31
2,5-平日,1,1,1,1,1,0,0,2023-04-01,2024-03-31
3,5-土日祝,0,0,0,0,0,1,1,2023-04-01,2024-03-31
4,5-日祝,0,0,0,0,0,0,1,2023-04-01,2024-03-31
5,5-一周線最終便運行日,1,1,1,1,1,1,1,2023-04-01,2023-10-31
6,5-駒運行日,0,0,0,0,0,1,1,2023-06-01,2023-10-20
7,5-駒9月まで,0,0,0,0,0,1,1,2023-06-01,2023-09-30
8,5-駒10月,0,0,0,0,0,1,1,2023-10-01,2023-10-20
9,5-玉川線運行日,1,1,1,1,1,1,1,2023-04-16,2023-11-30
10,5-玉川線最終便運行日,1,1,1,1,1,1,1,2023-04-16,2023-10-15
11,5-新玉川線運行日,1,1,1,1,1,1,1,2023-12-01,2024-03-31
12,5-新玉川線運行日（春）,1,1,1,1,1,1,1,2023-04-01,2023-04-15
13,5-朝倉小登校日,1,1,1,1,1,0,0,2023-04-01,2024-03-31
14,5-大仙市登校日,1,1,1,1,1,0,0,2023-04-01,2024-03-31
15,5-大仙市休校日,0,0,0,0,0,1,1,2023-04-01,2024-03-31
16,5-大仙市平日休校日,0,0,0,0,0,0,0,2023-04-01,2024-03-31
17,5-新山小登校日,1,1,1,1,1,0,0,2023-04-01,2024-03-31
18,5-象潟中登校日,1,1,1,1,1,0,0,2023-04-01,2024-03-31
19,5-青陵登校日,1,1,1,1,1,0,0,2023-04-01,2024-03-31
20,5-仁高登校日,1,1,1,1,1,0,0,2023-04-01,2024-03-31
21,5-県立大登校日,1,1,1,1,1,0,0,2023-04-01,2024-03-05
22,5-降雪期平日,1,1,1,1,1,0,0,2023-12-01,2024-02-28
23,5-早春平日,1,1,1,1,1,0,0,2024-02-01,2024-03-20
24,5-新山小冬季登校日,1,1,1,1,1,0,0,2023-12-01,2024-03-20
25,5-遊覧船運行日,1,1,1,1,1,1,1,2023-04-26,2023-11-05
0,6-平日,1,1,1,1,1,0,0,2023-12-18,2024-12-17
1,6-土日祝,0,0,0,0,0,1,1,2023-12-18,2024-12-17
