,table_name,field_name,field_value,language,translation,trans_id,lang,record_id,record_sub_id
0,stops,stop_name,日赤病院前,ja-Hrkt,にっせきびょういんまえ,,,,
1,stops,stop_name,日赤病院前,en,Nisseki Byoin-mae (Red Cross Hospital),,,,
2,stops,stop_name,中央シルバーエリア,ja-Hrkt,ちゅうおうしるばーえりあ,,,,
3,stops,stop_name,中央シルバーエリア,en,Chuo Silver Area,,,,
4,stops,stop_name,イオンモール秋田,ja-Hrkt,いおんもーるあきた,,,,
5,stops,stop_name,イオンモール秋田,en,Aeon Mall Akita,,,,
6,stops,stop_name,御所野小学校前,ja-Hrkt,ごしょのしょうがっこうまえ,,,,
7,stops,stop_name,御所野小学校前,en,Goshono Shogakko-mae (Goshono Elementary School),,,,
8,stops,stop_name,御所野,ja-Hrkt,ごしょの,,,,
9,stops,stop_name,御所野,en,Goshono,,,,
10,stops,stop_name,変電所前（河辺）,ja-Hrkt,へんでんしょまえ,,,,
11,stops,stop_name,変電所前（河辺）,en,Hedensho-mae (Kawabe),,,,
12,stops,stop_name,豊成,ja-Hrkt,とよなり,,,,
13,stops,stop_name,豊成,en,Toyonari,,,,
14,stops,stop_name,畑谷入口,ja-Hrkt,はたやいりぐち,,,,
15,stops,stop_name,畑谷入口,en,Hataya-iriguchi,,,,
16,stops,stop_name,戸島下丁,ja-Hrkt,としましもちょう,,,,
17,stops,stop_name,戸島下丁,en,Toshima-shimocho,,,,
18,stops,stop_name,戸島中丁,ja-Hrkt,としまなかちょう,,,,
19,stops,stop_name,戸島中丁,en,Toshima-nakacho,,,,
20,stops,stop_name,戸島小学校前,ja-Hrkt,としましょうがっこうまえ,,,,
21,stops,stop_name,戸島小学校前,en,Toshima Shogakko-mae (Toshima Elementary School),,,,
22,stops,stop_name,戸島上丁,ja-Hrkt,としまかみちょう,,,,
23,stops,stop_name,戸島上丁,en,Toshima-kamicho,,,,
24,stops,stop_name,川原田下丁,ja-Hrkt,かわらだしもちょう,,,,
25,stops,stop_name,川原田下丁,en,Kawarada-shimocho,,,,
26,stops,stop_name,川原田上丁,ja-Hrkt,かわらだかみちょう,,,,
27,stops,stop_name,川原田上丁,en,Kawarada-kamicho,,,,
28,stops,stop_name,市営住宅前,ja-Hrkt,しえいじゅうたくまえ,,,,
29,stops,stop_name,市営住宅前,en,Shiei Jutaku-mae,,,,
30,stops,stop_name,前田入口,ja-Hrkt,まえだいりぐち,,,,
31,stops,stop_name,前田入口,en,Maeda-iriguchi,,,,
32,stops,stop_name,河辺市民サービスセンター前,ja-Hrkt,かわべしみんさーびすせんたーまえ,,,,
33,stops,stop_name,河辺市民サービスセンター前,en,Kawabe Shimin Service Center-mae,,,,
